,10000,100000,1000000,10000000,100000000
tests.maptests.article_examples.IntIntMap1Test,"1802","1739","4940","7941","9313"
tests.maptests.article_examples.IntIntMap2Test,"1181","1577","3654","6099","8928"
tests.maptests.article_examples.IntIntMap3Test,"962","1271","3289","4287","5551"
tests.maptests.article_examples.IntIntMap4Test,"796","1441","3183","3426","4218"
tests.maptests.article_examples.IntIntMap4aTest,"739","1408","2735","3376","4293"
tests.maptests.primitive.FastUtilMapTest,"778","1188","2739","4065","5588"
tests.maptests.primitive.GsMutableMapTest,"1024","1565","2771","4285","5478"
tests.maptests.primitive.KolobokeMutableMapTest,"669","1336","2667","3177","4179"
tests.maptests.primitive.HppcMapTest,"838","1413","3172","4711","5879"
tests.maptests.primitive.TroveJbMapTest,"2225","2696","5490","9955","13075"
tests.maptests.primitive.TroveMapTest,"2068","2442","5196","9604","12656"
tests.maptests.object.FastUtilObjMapTest,"1097","1748","5872","6400","10570"
tests.maptests.object.KolobokeMutableObjTest,"1517","1999","7885","7563","11994"
tests.maptests.object.KolobokeNotNullKeyObjTest,"1515","2003","7874","7572","12122"
tests.maptests.object.KolobokeHashCodeMixingObjTest,"1219","1774","6280","6069","9131"
tests.maptests.object.HppcObjMapTest,"1336","2189","6761","7368","11865"
tests.maptests.object.GsObjMapTest,"1236","1884","6857","7226","9975"
tests.maptests.object.JdkMapTest,"954","1185","5123","6136","8378"
tests.maptests.object.JdkMapTestDifferentCapacity,"947","1138","5103","5126","8196"
tests.maptests.object.TroveJbObjMapTest,"2543","3105","8926","12625","17437"
tests.maptests.object.TroveObjMapTest,"2329","3020","9125","13025","18374"
tests.maptests.article_examples.ObjObjMapTest,"1038","1575","6259","6114","8672"
tests.maptests.prim_object.FastUtilIntObjectMapTest,"787","1118","3021","4298","5642"
tests.maptests.prim_object.GsIntObjectMapTest,"841","1711","3532","4756","6471"
tests.maptests.prim_object.KolobokeIntObjectMapTest,"926","1194","3097","4269","5367"
tests.maptests.prim_object.HppcIntObjectMapTest,"1028","1492","3294","4785","6018"
tests.maptests.prim_object.TroveJbIntObjectMapTest,"2159","2739","6165","10161","11995"
tests.maptests.prim_object.TroveIntObjectMapTest,"2038","2528","5132","9517","12449"
tests.maptests.object_prim.FastUtilObjectIntMapTest,"1217","1591","5983","6305","11087"
tests.maptests.object_prim.GsObjectIntMapTest,"1544","2067","7992","8341","14747"
tests.maptests.object_prim.KolobokeObjectIntMapTest,"1355","1731","7392","7210","13834"
tests.maptests.object_prim.HppcObjectIntMapTest,"1372","1947","6882","7000","11821"
tests.maptests.object_prim.TroveJbObjectIntMapTest,"2538","3097","9544","12659","17151"
tests.maptests.object_prim.TroveObjectIntMapTest,"2436","2911","9149","12165","16622"
tests.maptests.identity_object.FastUtilRef2ObjectMapTest,"651","1295","3321","3855","4653"
tests.maptests.identity_object.GsIdentityMapTest,"833","1171","4295","4551","5911"
tests.maptests.identity_object.KolobokeIdentityMapTest,"967","1524","4494","4319","5456"
tests.maptests.identity_object.HppcIdentityMapTest,"875","1464","3297","4334","5167"
tests.maptests.identity_object.JDKIdentityMapTest,"1534","1238","3749","6971","5175"
tests.maptests.identity_object.TroveJbIdentityMapTest,"2225","2752","5150","9730","11265"
tests.maptests.identity_object.TroveIdentityMapTest,"2489","2844","4851","9398","11036"